aspect_id,aspect_name,aspect_comment,aspect_ratio,aspect_ratio_comment,key_moment,key_moment_comment,key_moment_ratio,key_moment_ratio_comment,text_id,text_ratio_mean,text_ratio_median
0,Наиболее уязвимые отрасли,"Нефтегазовый сектор (отлучение от сервисных услуг и технологий), машиностроение, авиастроение, фармацевтика (48.2% потребления под санкциями), химическая промышленность (44.7%), производство транспорта (32.2%), базовая электроника и IT",100,"Аспект раскрыт полностью. Текст детально перечисляет уязвимые отрасли (нефтегаз, машиностроение, авиастроение, фармацевтика, химическая промышленность, транспортное производство, электроника, IT) с указанием конкретных данных о доле импорта (например, 48.2% для фармацевтики). Приведены экспертные оценки и статистика ЦМАКП.","Отрасли, наиболее пострадавшие от санкций и достигшие успехов в импортозамещении","Санкции сильнее всего затронули отрасли с высокой зависимостью от импорта, но стимулировали развитие отечественного производства",90,"Ключевой момент раскрыт полно. Текст системно анализирует: 1) уязвимые отрасли с статистикой; 2) положительные эффекты санкций (инвестиции, рост МСП, примеры автопрома и IT); 3) проблемы незавершенного импортозамещения (авиапром, риски возврата импорта). Недостает лишь глубины в раскрытии судостроения и станкостроения, что частично компенсировано общими выводами экспертов.",0,89.88888888888889,90.0
1,Положительные эффекты санкций,"Уход западных конкурентов стимулировал внутренние инвестиции, создание новых производств (например, в IT замещение идет эффективно). В легкой промышленности ситуация стабилизировалась через поставки из нейтральных стран",95,"Аспект раскрыт почти полностью. Текст демонстрирует стимулирующий эффект санкций: рост внутренних инвестиций (пример IT-сектора), создание новых производств (автопром, легкая промышленность), увеличение числа МСП (с 5.8 до 6.3 млн). Упущена лишь детализация механизмов «эффективного замещения» в IT, упомянутого кратко.","Отрасли, наиболее пострадавшие от санкций и достигшие успехов в импортозамещении","Санкции сильнее всего затронули отрасли с высокой зависимостью от импорта, но стимулировали развитие отечественного производства",90,"Ключевой момент раскрыт полно. Текст системно анализирует: 1) уязвимые отрасли с статистикой; 2) положительные эффекты санкций (инвестиции, рост МСП, примеры автопрома и IT); 3) проблемы незавершенного импортозамещения (авиапром, риски возврата импорта). Недостает лишь глубины в раскрытии судостроения и станкостроения, что частично компенсировано общими выводами экспертов.",0,89.88888888888889,90.0
2,Незавершенное импортозамещение,"Станкостроение, судостроение и авиапром еще не достигли полноценного замещения. Возврат зарубежных комплектующих может затормозить эти процессы",75,"Аспект раскрыт частично. Текст подтверждает незавершенность импортозамещения в станкостроении, судостроении и авиапроме (перенос сроков поставок самолетов на 2026 г.), а также риски возврата зарубежных комплектующих. Однако недостает конкретных примеров по судостроению и станкостроению — они лишь перечислены без детального анализа проблем.","Отрасли, наиболее пострадавшие от санкций и достигшие успехов в импортозамещении","Санкции сильнее всего затронули отрасли с высокой зависимостью от импорта, но стимулировали развитие отечественного производства",90,"Ключевой момент раскрыт полно. Текст системно анализирует: 1) уязвимые отрасли с статистикой; 2) положительные эффекты санкций (инвестиции, рост МСП, примеры автопрома и IT); 3) проблемы незавершенного импортозамещения (авиапром, риски возврата импорта). Недостает лишь глубины в раскрытии судостроения и станкостроения, что частично компенсировано общими выводами экспертов.",0,89.88888888888889,90.0
0,Практика частичных решений,"Обычно санкции смягчаются или снимаются выборочно (примеры: Вьетнам через 25 лет, Куба через 50+ лет, Русал в 2019 из-за турбулентности рынка)",100,"Аспект раскрыт полностью. Текст детально описывает практику частичного смягчения санкций США, приводя конкретные примеры: Вьетнам (1994-1995), Куба (смягчение через 50+ лет), Иран (ядерная сделка 2015 г.) и «Русал» (отмена в 2019 г. из-за рыночной турбулентности). Все указанные в аспекте кейсы присутствуют.",Исторические особенности отмены санкций США,"США крайне редко полностью снимают санкции с крупных государств, используя их как переговорный инструмент",90,"Ключевой момент раскрыт почти полностью. Текст детально освещает исторические прецеденты частичной отмены санкций (аспект 0) и условия их снятия (аспект 1). Подтверждена роль санкций как переговорного инструмента (аспект 2), но без явного акцента на приоритете политических целей над экономическими. Примеры из практики США (Вьетнам, Куба, Иран, «Русал») и механизмы снятия («ОЗОН Банк») приведены исчерпывающе.",0,89.88888888888889,90.0
1,Ключевые условия снятия,"Требуется изменение ситуации, устранение причин введения санкций или смена собственников компаний (пример: ОЗОН Банк)",100,"Аспект раскрыт полностью. Текст содержит прямую цитату Марии Удодовой о необходимости «изменения фактической ситуации» для снятия санкций и устранения причин их введения. Также приведен пример «ОЗОН Банка», где смена собственников послужила основанием для исключения из SDN-листа. Условия снятия описаны исчерпывающе.",Исторические особенности отмены санкций США,"США крайне редко полностью снимают санкции с крупных государств, используя их как переговорный инструмент",90,"Ключевой момент раскрыт почти полностью. Текст детально освещает исторические прецеденты частичной отмены санкций (аспект 0) и условия их снятия (аспект 1). Подтверждена роль санкций как переговорного инструмента (аспект 2), но без явного акцента на приоритете политических целей над экономическими. Примеры из практики США (Вьетнам, Куба, Иран, «Русал») и механизмы снятия («ОЗОН Банк») приведены исчерпывающе.",0,89.88888888888889,90.0
2,Санкции как инструмент давления,"США рассматривают санкции как механизм достижения политических целей, а не экономических ограничений",70,"Аспект раскрыт частично. Текст подтверждает, что санкции — инструмент переговоров (цитата Удодовой: «переговорный инструмент для достижения своих целей»), но не акцентирует их преимущественно политическую (а не экономическую) природу. Примеры (Вьетнам, Куба, Иран) носят политический характер, но явного противопоставления политических и экономических целей нет.",Исторические особенности отмены санкций США,"США крайне редко полностью снимают санкции с крупных государств, используя их как переговорный инструмент",90,"Ключевой момент раскрыт почти полностью. Текст детально освещает исторические прецеденты частичной отмены санкций (аспект 0) и условия их снятия (аспект 1). Подтверждена роль санкций как переговорного инструмента (аспект 2), но без явного акцента на приоритете политических целей над экономическими. Примеры из практики США (Вьетнам, Куба, Иран, «Русал») и механизмы снятия («ОЗОН Банк») приведены исчерпывающе.",0,89.88888888888889,90.0
0,Переход на китайские платформы,"АвтоВАЗ, ГАЗ, КамАЗ сохранили производство, остальные заводы (Автотор, Москвич, Sollers) перешли на сборку китайских моделей. Бывшие заводы Hyundai и Mercedes также адаптированы под китайские бренды",95,"Аспект раскрыт почти полностью. Текст детально описывает переход на китайские платформы: подтверждено сохранение производства АвтоВАЗ, ГАЗ, КамАЗ; указаны конкретные примеры перехода других заводов (Автотор, Москвич, Sollers) на китайские бренды. Упомянута адаптация завода Mercedes под Exeed. Незначительное упущение: завод Hyundai описан как выпускающий корейские Solaris без явного акцента на китайскую адаптацию.",Трансформация автопрома и риски возврата западных производителей,"Российский автопром полностью переориентировался на китайские платформы, что создает барьеры для возврата западных брендов",98,"Ключевой момент раскрыт практически полностью (98%). Текст детально освещает три аспекта: 1) Конкретные примеры перехода на китайские платформы (Автотор, Москвич и др.) с минимальным упущением по заводу Hyundai; 2) Исчерпывающие условия возврата западных брендов через позицию эксперта; 3) Экономическую нецелесообразность возврата с прогнозами и аргументами. Логика трансформации автопрома и барьеров для возврата западных игроков подтверждена экспертными оценками и статистикой.",0,89.88888888888889,90.0
1,Условия возможного возврата,"Возврат западных производителей потребует запретительных мер: повышенные требования к локализации, гарантии технологического суверенитета и надежности поставок",100,"Аспект раскрыт полностью. Текст цитирует позицию Дмитрия Бабанского: четко указаны требования к возврату западных производителей — запретительные условия, повышенная локализация, гарантии технологического суверенитета и надежности поставок. Дополнительно подчеркнуты критерии долгосрочной безопасности и максимизации добавленной стоимости.",Трансформация автопрома и риски возврата западных производителей,"Российский автопром полностью переориентировался на китайские платформы, что создает барьеры для возврата западных брендов",98,"Ключевой момент раскрыт практически полностью (98%). Текст детально освещает три аспекта: 1) Конкретные примеры перехода на китайские платформы (Автотор, Москвич и др.) с минимальным упущением по заводу Hyundai; 2) Исчерпывающие условия возврата западных брендов через позицию эксперта; 3) Экономическую нецелесообразность возврата с прогнозами и аргументами. Логика трансформации автопрома и барьеров для возврата западных игроков подтверждена экспертными оценками и статистикой.",0,89.88888888888889,90.0
2,Экономическая нецелесообразность,Рынок авто в 2025 году прогнозирует стагнацию/спад (80% продаж в кредит). Возврат Toyota/Hyundai экономически неоправдан,100,"Аспект раскрыт полностью. Приведен прогноз Евгения Надоршина: стагнация/спад рынка в 2025 г. (из-за утильсбора и кредитной нагрузки в 80%). Эксплицитно указана экономическая нецелесообразность возврата Toyota/Hyundai через риторический вопрос «Зачем?», подтверждающий тезис.",Трансформация автопрома и риски возврата западных производителей,"Российский автопром полностью переориентировался на китайские платформы, что создает барьеры для возврата западных брендов",98,"Ключевой момент раскрыт практически полностью (98%). Текст детально освещает три аспекта: 1) Конкретные примеры перехода на китайские платформы (Автотор, Москвич и др.) с минимальным упущением по заводу Hyundai; 2) Исчерпывающие условия возврата западных брендов через позицию эксперта; 3) Экономическую нецелесообразность возврата с прогнозами и аргументами. Логика трансформации автопрома и барьеров для возврата западных игроков подтверждена экспертными оценками и статистикой.",0,89.88888888888889,90.0
0,Задержки в производстве,Поставки новых отечественных лайнеров откладываются до 2026 года. Аэрофлот в 2024 вложил 92 млрд руб в поддержание флота и переход на российское ПО,100,"Аспект раскрыт полностью. Текст подтверждает задержки поставок новых самолетов до 2026 года и детализирует инвестиции Аэрофлота (92 млрд руб. в 2024 г. на поддержание флота, переход на российское ПО и формирование запасов), что соответствует комментарию к аспекту.",Авиапром: между импортозамещением и технологическими рисками,"Отрасль взяла курс на 100% импортозамещение, но снятие санкций может создать долгосрочные угрозы",100,"Ключевой момент раскрыт полностью. Текст детально освещает все три аспекта: подтверждает курс на 100% импортозамещение, задержки в производстве, инвестиции Аэрофлота, экспертные оценки рисков снятия санкций (включая угрозу технологической зависимости) и дилемму между временным решением дефицита и долгосрочными последствиями. Экспертные мнения (Мирзоев, Бабанский) и конкретные данные (сроки поставок, суммы инвестиций) обеспечивают исчерпывающее раскрытие темы.",0,89.88888888888889,90.0
